"Game_ID","Game_Name","Genre"
1, Beyblade Burst,Role-Playing
2, Fire Emblem Fates,Role-Playing
3, Frozen: Olaf's Quest,Platform
4, Haikyu!! Cross Team Match!,Adventure
5, Tales of Xillia 2,Role-Playing
6,'98 Koshien,Sports
7,.hack//G.U. Last Recode,Role-Playing
8,.hack//G.U. Vol.1//Rebirth,Role-Playing
9,.hack//G.U. Vol.2//Reminisce,Role-Playing
10,.hack//G.U. Vol.2//Reminisce (jp sales),Role-Playing
11,.hack//G.U. Vol.3//Redemption,Role-Playing
12,.hack//Infection Part 1,Role-Playing
13,.hack//Link,Role-Playing
14,.hack//Mutation Part 2,Role-Playing
15,.hack//Outbreak Part 3,Role-Playing
16,.hack//Quarantine Part 4: The Final Chapter,Role-Playing
17,.hack: Sekai no Mukou ni + Versus,Action
18,"007 Racing",Racing
19,"007: Quantum of Solace",Action
20,"007: The World is not Enough",Action
21,"007: Tomorrow Never Dies",Shooter
22,"1 vs. 100",Misc
23,"1/2 Summer +",Adventure
24,"10 Minute Solution",Sports
25,"100 All-Time Favorites",Puzzle
26,"100 Classic Books",Misc
27,"100 Classic Games",Misc
28,"1000 Cooking Recipes from ELLE Ã  table",Misc
29,"1001 Touch Games",Action
30,"101-in-1 Explosive Megamix",Puzzle
31,"101-in-1 Party Megamix Wii",Misc
32,"101-in-1 Sports Megamix",Sports
33,"101-in-1 Sports Party Megamix",Sports
34,"1080Â°: TenEighty Snowboarding",Sports
35,"11eyes: CrossOver",Adventure
36,"12-Sai. Honto no Kimochi",Adventure
37,"12-Sai. Koisuru Diary",Adventure
38,"12Riven: The Psi-Climinal of Integral",Adventure
39,"15 Days",Adventure
40,"1701 A.D.",Simulation
41,"18 Wheeler: American Pro Trucker",Racing
42,"18 Wheels of Steel: Extreme Trucker",Racing
43,"18 Wheels of Steel: Extreme Trucker 2",Racing
44,"187: Ride or Die",Racing
45,"1942",Shooter
46,"2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race",Racing
47,"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures",Action
48,"2 Games in 1: Disney Princess & The Lion King",Misc
49,"2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2",Action
50,"2 Games in 1: Sonic Advance & ChuChu Rocket!",Misc
51,"2 Games in 1: Sonic Battle & ChuChu Rocket!",Misc
52,"2 Games in 1: Sonic Pinball Party & Columns Crown",Misc
53,"2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild",Platform
54,"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe",Misc
55,"2-in-1 Game Pack: Spider-Man & Spider-Man 2",Platform
56,"2002 FIFA World Cup",Sports
57,"2010 FIFA World Cup South Africa",Sports
58,"2014 FIFA World Cup Brazil",Sports
59,"24: The Game",Adventure
60,"25 to Life",Shooter
61,"2Xtreme",Sports
62,"3 in 1: Solitaire, Mahjong & Tangram",Misc
63,"300: March to Glory",Action
64,"3D Baseball",Sports
65,"3D Dot Game Heroes",Role-Playing
66,"3D Lemmings",Puzzle
67,"3D Tank Warfare Simulator Panzer Front",Simulation
68,"3DS Classic Collection",Misc
69,"3Xtreme",Action
70,"3rd Super Robot Wars Z Jigoku Hen",Role-Playing
71,"3rd Super Robot Wars Z: Tengoku-Hen",Action
72,"4 Elements",Puzzle
73,"4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship",Misc
74,"4 Nin uchi Mahjong",Misc
75,"4 Play Collection - Dark Mysteries",Misc
76,"40 Winks",Platform
77,"428: Fuusa Sareta Shibuya de",Adventure
78,"4x4 EVO 2",Racing
79,"4x4 Evolution",Racing
80,"50 Cent: Blood on the Sand",Shooter
