"Publisher_ID","Publisher_Name"
1,"10TACLE Studios"
2,"11 bit studios"
3,"1C Company"
4,"20th Century Fox Video Games"
5,"2D Boy"
6,"2K Games"
7,"2K Sports"
8,"3D Realms"
9,"3DO"
10,"49Games"
11,"505 Games"
12,"5pb"
13,"7G//AMES"
14,"989 Sports"
15,"989 Studios"
16,AQ Interactive
17,ASC Games
18,ASCII Entertainment
19,ASCII Media Works
20,ASK
21,Abylight
22,Acclaim Entertainment
23,Accolade
24,Ackkstudios
25,Acquire
26,Active Gaming Media
27,Activision
28,Activision Blizzard
29,Activision Value
30,Adeline Software
31,Aerosoft
32,Agatsuma Entertainment
33,Agetec
34,Aksys Games
35,Alawar Entertainment
36,Alchemist
37,Alternative Software
38,Altron
39,Alvion
40,American Softworks
41,Angel Studios
42,Answer Software
43,Aqua Plus
44,Aques
45,Arc System Works
46,Arena Entertainment
47,Aria
48,Arika
49,ArtDink
50,Aruze Corp
51,Ascaron Entertainment
52,Ascaron Entertainment GmbH
53,Asgard
54,Asmik Ace Entertainment
55,Asmik Corp
56,Aspyr
57,Astragon
58,Asylum Entertainment
59,Atari
60,Athena
61,Atlus
62,Avalon Interactive
63,Avanquest
64,Avanquest Software
65,Axela
66,BAM! Entertainment
67,BMG Interactive Entertainment
68,BPS
69,Badland Studio
70,Bandai Namco Entertainment
71,Bandai Namco Games
72,Banpresto
73,Benesse
74,Berkeley
75,Bethesda Softworks
76,Big Ben Interactive
77,Big Fish Games
78,Bigben Interactive
79,BioWare
80,BitComposer Games
81,Black Bean Games
82,Black Label Games
83,Blast! Entertainment Ltd
84,Blizzard Entertainment
85,Blue Byte
86,Bohemia Interactive
87,Bomb
88,Boost On
89,Brash Entertainment
90,Broccoli
91,BushiRoad
92,CBS Electronics
93,CCP
94,CD Projekt Red Studio
95,CDV Software Entertainment
96,CPG Products
97,CTO SpA
98,Capcom
99,Cave
100,ChunSoft
101,City Interactive
102,Cloud Imperium Games Corporation
103,Coconuts Japan
104,Codemasters
105,Codemasters Online
106,CokeM Interactive
107,Coleco
108,Comfort
109,Commseed
110,Compile
111,Compile Heart
112,Compulsion Games
113,Conspiracy Entertainment
114,Core Design Ltd.
115,Crave Entertainment
116,Creative Core
117,Crimson Cow
118,Crystal Dynamics
119,Crytek
120,Culture Brain
121,Culture Publishers
122,CyberFront
123,Cygames
124,D3Publisher
125,DHM Interactive
126,DMM Games
127,DSI Games
128,DTP Entertainment
129,Daedalic
130,Daedalic Entertainment
131,Daito
132,Data Age
133,Data Design Interactive
134,Data East
135,Datam Polystar
136,Deep Silver
137,"Destination Software, Inc"
138,Destineer
139,Detn8 Games
140,Devolver Digital
141,DigiCube
142,Disney Interactive Studios
143,Dorart
144,Double Damage Games
145,Dramatic create
146,DreamCatcher Interactive
147,DreamWorks Interactive
148,Dusenberry Martin Racing
149,EA Games
150,EA Sports
151,EON Digital Entertainment
152,ESP
153,Easy Interactive
154,Ecole
155,Edia
156,Eidos Interactive
157,Electronic Arts
158,Electronic Arts Victor
159,Elf
160,Elite
161,Empire Interactive
162,Encore
163,Endnight Games LtdÊ
164,Enix Corporation
165,Enjoy Gaming ltd.
166,Enterbrain
167,Entergram
168,Epic Games
169,Epoch
170,Ertain
171,Essential Games
172,Evolution Games
173,Evolved Games
174,Excalibur Publishing
175,Experience Inc.
176,Extreme Entertainment Group
177,Falcom Corporation
178,FarSight Studios
179,Fields
180,Flashpoint Games
181,Flight-Plan
182,Focus Home Interactive
183,Focus Multimedia
184,Fonfun
185,Foreign Media Games
186,Fortyfive
187,Fox Interactive
188,Frictional Games
189,From Software
190,Frontier Developments
191,FuRyu
192,FuRyu Corporation
193,Fuji
194,FunSoft
195,Funbox Media
196,Funcom
197,Funsta
198,Futurlab 1
199,G.Rev
200,GN Software
201,GOA
202,GSP
203,GT Interactive
204,Gaga
205,Gaijinworks
206,Gainax Network Systems
207,Gakken
208,Game Arts
209,Game Factory
210,Game Life
211,GameMill
212,GameMill Entertainment
213,GameTek
214,GameTrust
215,Gamebridge
216,Gamecock
217,Gameloft
218,Games Workshop
219,Gathering of Developers
220,Gearbox Software
221,General Entertainment
222,Genki
223,Genterprise
224,Ghostlight
225,Giga
226,Giza10
227,Glams
228,Global A Entertainment
229,Global Star
230,Gotham Games
231,Graffiti
232,Grand Prix Games
233,Graphsim Entertainment
234,Gremlin Interactive Ltd
235,Grey Box
236,Griffin International
237,Groove Games
